query_def_tech_label,top_def_tech_label,def_tactic_label,def_tactic_rel_label,def_tech_label,def_artifact_rel_label,def_artifact_label,off_artifact_label,off_artifact_rel_label,off_tech_label,off_tech_id,framework_root_iri,off_tech_parent_label,off_tech_parent_is_toplevel,off_tactic_rel_label,off_tactic_label,def_tactic,def_tactic_rel,def_tech,def_artifact_rel,def_artifact,off_artifact,off_artifact_rel,off_tech,off_tech_parent,off_tactic_rel,off_tactic
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Create Process with Token,T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Stealth,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Create Process with Token,T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Make and Impersonate Token,T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Stealth,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Token Binding,strengthens,Access Token,Access Token,copies,Make and Impersonate Token,T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TokenBinding,http://d3fend.mitre.org/ontologies/d3fend.owl#strengthens,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Guessing,T1110.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,uses,Default Credentials,T0812,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSTechnique,Lateral Movement Technique,true,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T0812,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSLateralMovementTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0109
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Spraying,T1110.003,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Password,accesses,Password Cracking,T1110.002,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Brute Force,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Password,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110.002,http://d3fend.mitre.org/ontologies/d3fend.owl#T1110,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Kerberos Ticket Granting Ticket,forges,Golden Ticket,T1558.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Steal or Forge Kerberos Tickets,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicketGrantingTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#forges,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,NTDS,T1003.003,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,uses,Hardcoded Credentials,T0891,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSTechnique,Persistence Technique,true,enables,Persistence,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T0891,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSPersistenceTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0110
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,accesses,Unsecured Credentials,T1552,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1552,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,uses,Credentialed Persistence,PER-0005,http://d3fend.mitre.org/ontologies/d3fend.owl#SPARTATechnique,Persistence Technique,true,enables,Persistence,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#PER-0005,http://d3fend.mitre.org/ontologies/d3fend.owl#SPARTAPersistenceTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#ST0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,creates,Additional Cloud Credentials,T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Account Manipulation,false,enables,Persistence,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0003
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,creates,Additional Cloud Credentials,T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Account Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#creates,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1098,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,forges,Forge Web Credentials,T1606,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#forges,http://d3fend.mitre.org/ontologies/d3fend.owl#T1606,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,modifies,Change Credential,T0892,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSTechnique,Inhibit Response Function Technique,true,enables,Inhibit Response Function,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#modifies,http://d3fend.mitre.org/ontologies/d3fend.owl#T0892,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKICSInhibitResponseFunctionTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0107
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,/etc/passwd and /etc/shadow,T1003.008,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.008,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,Cached Domain Credentials,T1003.005,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,OS Credential Dumping,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003.005,http://d3fend.mitre.org/ontologies/d3fend.owl#T1003,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Encrypted Credential,accesses,Keychain,T1142,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#EncryptedCredential,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1142,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Kerberos Ticket,may-access,Steal or Forge Kerberos Tickets,T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#KerberosTicket,http://d3fend.mitre.org/ontologies/d3fend.owl#may-access,http://d3fend.mitre.org/ontologies/d3fend.owl#T1558,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Session Cookie,adds,Web Session Cookie,T1550.004,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Use Alternate Authentication Material,false,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionCookie,http://d3fend.mitre.org/ontologies/d3fend.owl#adds,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.004,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0008
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Session Cookie,forges,Web Cookies,T1606.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Forge Web Credentials,false,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#SessionCookie,http://d3fend.mitre.org/ontologies/d3fend.owl#forges,http://d3fend.mitre.org/ontologies/d3fend.owl#T1606.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1606,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Token Impersonation/Theft,T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Stealth,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0005
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Token Impersonation/Theft,T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,uses,Application Access Token,T1550.001,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Use Alternate Authentication Material,false,enables,Lateral Movement,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550.001,http://d3fend.mitre.org/ontologies/d3fend.owl#T1550,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0008
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,accesses,Steal Application Access Token,T1528,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Credential Access Technique,true,enables,Credential Access,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#accesses,http://d3fend.mitre.org/ontologies/d3fend.owl#T1528,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialAccessTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0006
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Access Token,copies,Make and Impersonate Token,T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#ATTACKEnterpriseTechnique,Access Token Manipulation,false,enables,Privilege Escalation,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#AccessToken,http://d3fend.mitre.org/ontologies/d3fend.owl#copies,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134.003,http://d3fend.mitre.org/ontologies/d3fend.owl#T1134,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#TA0004
Token Binding,Credential Hardening,Harden,enables,Credential Hardening,hardens,Credential,Credential,uses,Credentialed Evasion,DE-0011,http://d3fend.mitre.org/ontologies/d3fend.owl#SPARTATechnique,Defense Evasion Technique,true,enables,Defense Evasion,http://d3fend.mitre.org/ontologies/d3fend.owl#Harden,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#CredentialHardening,http://d3fend.mitre.org/ontologies/d3fend.owl#hardens,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#Credential,http://d3fend.mitre.org/ontologies/d3fend.owl#uses,http://d3fend.mitre.org/ontologies/d3fend.owl#DE-0011,http://d3fend.mitre.org/ontologies/d3fend.owl#SPARTADefenseEvasionTechnique,http://d3fend.mitre.org/ontologies/d3fend.owl#enables,http://d3fend.mitre.org/ontologies/d3fend.owl#ST0006
